Name of component,,Quantity,Price in (INR),Price in ($),Total cost in($),Product Link,
QPT 2807-1300KV Brushless Motor,,,4,1999,20.87,83.48,https://vegadrones.in/product/1300kv-brushless-drone-motor-6s-high-thrust/
BN-880 GPS Module,,,1,1669,17.43,17.43,https://robu.in/product/ready-to-sky-bn-880-gps-module/
Zerodrag Nova-Boost F4 FPV Stack,,,1,7449,77.77,77.77,https://vegadrones.in/product/zerodrag-nova-boost-stack-f4-fc-55a-4-in-1-am32-esc/
14.8V 5200mAh Battery Pack,,,1,6299,65.77,65.77,https://robu.in/product/bonka-5200mah-35c-4s-lithium-polymer-battery-pack/
Poly Carbonate Triblade Propeller,,,4,375,3.92,3.92,https://robu.in/product/hq-durable-prop-7x4x3-light-grey-2cw2ccw-poly-carbonate/
Radiomaster T8L Radio Controller,,,1,3999,41.75,41.75,https://vegadrones.in/product/radiomaster-t8l-radio-controller-grey/
Radiomaster RP1 V2,Nano Receiver,,1,2556,26.69,26.69,https://robu.in/product/radiomaster-rp1-expresslrs-2-4ghz-nano-receiver/
Shipping,,-,200,2.09,2.09,-,
Total,,,,,330.15,319.5,
NOTE: one of the platforms 'ROBU' is giving me free shipping and or extra costs are already included in the pricing of the parts same goes for the second wesite VEGA Drones is only charging me 2.09$ for shipping,,,,,,,
"Also both platfoms Allow Debit,Credit card Net banking and various other methods to payy!!",,,,,,,
